1,49E+08 1,39E+08 1,46E+08 1,41E+08 1,39E+08 1,47E+08 1,53E+08 1,44E+08 1,45E+08 1,43E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
1,53E+08 1,43E+08 1,48E+08 1,45E+08 1,42E+08 1,49E+08 1,56E+08 1,46E+08 1,47E+08 1,47E+08   
